customer_id,recency_cltv_weekly,T_weekly,frequency,monetary_cltv_avg,exp_sales_3_months,exp_sales_6_months,exp_average_value,clv,segment
d05aa89a-b140-11e9-9757-000d3a38a36f,109.0,110.85714285714286,4.0,175.7375,0.4916903685471974,0.9833807370943941,182.58324864359176,188.38673239930816,B
b9d594a0-135a-11ea-a001-000d3a38a36f,88.57142857142857,99.0,3.0,141.64666666666668,0.4564681616497818,0.9129363232995672,149.36077598435813,143.06873409370104,C
a15599ae-b3b7-11ea-8745-000d3a38a36f,87.14285714285714,87.85714285714286,9.0,257.3755555555556,0.9264224004476159,1.8528448008952283,261.5379026212471,508.4419388564381,A
c2ea2b78-b135-11e9-9757-000d3a38a36f,84.71428571428571,105.14285714285714,3.0,158.64666666666668,0.44100327804803113,0.8820065560960623,167.11623848871105,154.65292966808556,C
5e1f4944-9ef2-11e9-9897-000d3a38a36f,426.7142857142857,428.2857142857143,13.0,137.5007692307692,0.39638696504631343,0.7927739300926269,139.18099497527115,115.77025326123875,C
5312c8be-b03b-11e9-9757-000d3a38a36f,93.71428571428571,113.28571428571429,2.0,192.485,0.3587105234977588,0.7174210469955169,207.7849252620148,156.40687400674852,C
cef0a134-6d1b-11ea-84a8-000d3a38a36f,52.42857142857143,68.57142857142857,3.0,316.03333333333336,0.5524285778404597,1.10485715568092,331.4970066466576,384.28499778912186,A
b4a69ad2-2382-11ea-8523-000d3a38a36f,81.57142857142857,82.42857142857143,8.0,323.45000000000005,0.8824702633244805,1.7649405266489595,329.2124257125131,609.6407386219923,A
18c8cff6-fcd9-11e9-a5e8-000d3a38a36f,77.71428571428571,82.57142857142857,4.0,256.9725,0.579302069932507,1.1586041398650153,266.4959993693857,323.96154096873704,A
40f14c74-a365-11e9-a2fc-000d3a38a36f,111.85714285714286,113.57142857142857,5.0,161.974,0.5478999130791089,1.095799826158216,167.05415825282745,192.0685262085213,B
69cea3ee-ae96-11e9-a2fc-000d3a38a36f,99.28571428571429,110.71428571428571,9.0,178.7411111111111,0.8131164484547305,1.6262328969094664,181.77216265461269,310.15429723251196,A
3538cb96-b714-11ea-9e09-000d3a38a36f,30.142857142857142,48.57142857142857,7.0,125.83714285714287,1.0257873949628302,2.0515747899256644,128.76767593627523,277.1800044924387,A
e53e04a4-2602-11eb-8a9b-000d3a38a36f,11.428571428571429,28.571428571428573,3.0,235.65,0.7633923371462198,1.5267846742924343,247.54152070695747,396.5459628778058,A
ae1e6b8a-bbb8-11ea-a0c9-000d3a38a36f,28.0,48.0,3.0,38.31666666666666,0.6439485034866611,1.2878970069733213,41.438897127017675,55.9960004849538,D
da2c35b0-51ad-11ea-a243-000d3a38a36f,74.42857142857143,77.71428571428571,2.0,135.925,0.44162769813711045,0.8832553962742209,147.3690473525872,136.5715573774938,C
0ec3bd28-6655-11ea-82da-000d3a38a36f,62.42857142857143,63.42857142857143,10.0,231.54899999999998,1.1744950727847885,2.348990145569579,234.95580646503714,579.0753300497361,A
18e746be-70c1-11ea-91b2-000d3a38a36f,50.0,68.14285714285714,2.0,105.36,0.47091780413884504,0.9418356082776901,114.72033256649003,113.36609561227274,C
bff1a1aa-d65e-11e9-93bc-000d3a38a36f,89.28571428571429,92.71428571428571,2.0,205.735,0.4024036641854421,0.8048073283708813,221.93822056434712,187.4095458734641,B
24541470-9f28-11e9-9897-000d3a38a36f,61.857142857142854,78.71428571428571,2.0,334.945,0.4387764019521874,0.8775528039043766,359.95688365977037,331.42970307647977,A
26ea72a6-15e8-11ea-aa74-000d3a38a36f,78.14285714285714,83.28571428571429,6.0,144.90333333333334,0.727216894028479,1.4544337880569713,148.7473376517873,226.9921522643892,B
f58d86f4-a403-11e9-a2fc-000d3a38a36f,115.42857142857143,118.71428571428571,19.0,191.87157894736845,1.3954809752265969,2.7909619504532057,193.38535920032422,566.2982160629617,A
7a2f811c-9df8-11e9-9897-000d3a38a36f,306.0,315.0,8.0,192.5375,0.35779778767258086,0.7155955753451633,196.177274690323,147.29365189458173,C
0c5bf524-a7c3-11e9-a2fc-000d3a38a36f,303.14285714285717,317.14285714285717,2.0,119.41499999999999,0.1727891568710709,0.34557831374214115,129.73350731926593,47.03989317220577,D
d9829d10-4f56-11ea-99ba-000d3a38a36f,68.28571428571429,77.85714285714286,3.0,143.61666666666667,0.5191252568058689,1.0382505136117373,151.41832075692136,164.94846046947094,C
9e4fa610-12f8-11ea-a001-000d3a38a36f,68.28571428571429,118.71428571428571,3.0,276.9533333333333,0.4102928899263259,0.8205857798526509,290.6803316660627,250.2691508429442,A
bdd91a66-3cb4-11eb-a48e-000d3a38a36f,7.142857142857143,20.714285714285715,2.0,195.43,0.701444507379589,1.402889014759177,210.93069542543884,310.4779665318225,A
51c16a64-a81c-11e9-a2fc-000d3a38a36f,268.2857142857143,296.0,5.0,198.91400000000002,0.2793345666502313,0.5586691333004626,204.96190139884013,120.14217907809498,C
f18bd732-ac59-11e9-a2fc-000d3a38a36f,203.42857142857142,206.57142857142858,14.0,99.20857142857143,0.7496560989414488,1.4993121978829294,100.41533648247474,157.96461323208018,C
a25a9b0e-3cc7-11ea-b550-000d3a38a36f,72.71428571428571,79.28571428571429,5.0,109.918,0.6687372522002419,1.3374745044004857,113.63441062941556,159.46414995936868,C
f88cf3ea-47f4-11ea-b6c0-000d3a38a36f,64.85714285714286,86.57142857142857,7.0,249.73142857142858,0.7862702884914745,1.5725405769829477,254.96312707332845,420.67521360265243,A
7438381a-a773-11e9-a2fc-000d3a38a36f,82.28571428571429,88.28571428571429,4.0,133.47750000000002,0.5591735503431547,1.1183471006863122,138.93023152446762,163.0200649970495,C
5db43bbc-1374-11ea-a001-000d3a38a36f,87.71428571428571,114.42857142857143,2.0,87.985,0.35655966891455004,0.7131193378291003,96.16082268890332,71.94954800766233,D
185f4fba-5f6a-11ea-be5b-000d3a38a36f,27.0,73.28571428571429,2.0,159.99,0.45471350720568016,0.9094270144113619,173.0746361413138,165.14634421046796,C
5bebd496-afb7-11e9-9757-000d3a38a36f,114.0,124.14285714285714,8.0,112.97875,0.6987018134082538,1.397403626816506,115.3285373933753,169.0932754179299,B
69604d0e-b02b-11e9-9757-000d3a38a36f,99.57142857142857,111.85714285714286,6.0,157.44,0.6167149495013896,1.233429899002778,161.55650771543944,209.07717084303772,B
